# Time	field	min	position(min)	max	position(max)
1068	Ua	0	(0 0.0093083 0)	0.44898	(0.0749621 0.013582 -1.33482e-20)
1069	Ua	0	(0 0.0093083 0)	0.449077	(0.0749621 0.013582 -1.33482e-20)
1070	Ua	0	(0 0.0093083 0)	0.449169	(0.0749621 0.013582 -1.33482e-20)
1071	Ua	0	(0 0.0093083 0)	0.449256	(0.0749621 0.013582 -1.33482e-20)
1072	Ua	0	(0 0.0093083 0)	0.449339	(0.0749621 0.013582 -1.33482e-20)
1073	Ua	0	(0 0.0093083 0)	0.449417	(0.0749621 0.013582 -1.33482e-20)
1074	Ua	0	(0 0.0093083 0)	0.449491	(0.0749621 0.013582 -1.33482e-20)
1075	Ua	0	(0 0.0093083 0)	0.449562	(0.0749621 0.013582 -1.33482e-20)
1076	Ua	0	(0 0.0093083 0)	0.449629	(0.0749621 0.013582 -1.33482e-20)
1077	Ua	0	(0 0.0093083 0)	0.449693	(0.0749621 0.013582 -1.33482e-20)
1078	Ua	0	(0 0.0093083 0)	0.449753	(0.0749621 0.013582 -1.33482e-20)
1079	Ua	0	(0 0.0093083 0)	0.449811	(0.0749621 0.013582 -1.33482e-20)
1080	Ua	0	(0 0.0093083 0)	0.449866	(0.0749621 0.013582 -1.33482e-20)
1081	Ua	0	(0 0.0093083 0)	0.449918	(0.0749621 0.013582 -1.33482e-20)
1082	Ua	0	(0 0.0093083 0)	0.449967	(0.0749621 0.013582 -1.33482e-20)
1083	Ua	0	(0 0.0093083 0)	0.450014	(0.0749621 0.013582 -1.33482e-20)
1084	Ua	0	(0 0.0093083 0)	0.450059	(0.0749621 0.013582 -1.33482e-20)
1085	Ua	0	(0 0.0093083 0)	0.450102	(0.0749621 0.013582 -1.33482e-20)
1086	Ua	0	(0 0.0093083 0)	0.450143	(0.0749621 0.013582 -1.33482e-20)
1087	Ua	0	(0 0.0093083 0)	0.450182	(0.0749621 0.013582 -1.33482e-20)
1088	Ua	0	(0 0.0093083 0)	0.450219	(0.0749621 0.013582 -1.33482e-20)
1089	Ua	0	(0 0.0093083 0)	0.450254	(0.0749621 0.013582 -1.33482e-20)
1090	Ua	0	(0 0.0093083 0)	0.450287	(0.0749621 0.013582 -1.33482e-20)
1091	Ua	0	(0 0.0093083 0)	0.450319	(0.0749621 0.013582 -1.33482e-20)
1092	Ua	0	(0 0.0093083 0)	0.45035	(0.0749621 0.013582 -1.33482e-20)
1093	Ua	0	(0 0.0093083 0)	0.450379	(0.0749621 0.013582 -1.33482e-20)
1094	Ua	0	(0 0.0093083 0)	0.450407	(0.0749621 0.013582 -1.33482e-20)
1095	Ua	0	(0 0.0093083 0)	0.450433	(0.0749621 0.013582 -1.33482e-20)
1096	Ua	0	(0 0.0093083 0)	0.450458	(0.0749621 0.013582 -1.33482e-20)
1097	Ua	0	(0 0.0093083 0)	0.450482	(0.0749621 0.013582 -1.33482e-20)
1098	Ua	0	(0 0.0093083 0)	0.450505	(0.0749621 0.013582 -1.33482e-20)
1099	Ua	0	(0 0.0093083 0)	0.450527	(0.0749621 0.013582 -1.33482e-20)
1100	Ua	0	(0 0.0093083 0)	0.450548	(0.0749621 0.013582 -1.33482e-20)
1101	Ua	0	(0 0.0093083 0)	0.450568	(0.0749621 0.013582 -1.33482e-20)
1102	Ua	0	(0 0.0093083 0)	0.450587	(0.0749621 0.013582 -1.33482e-20)
1103	Ua	0	(0 0.0093083 0)	0.450605	(0.0749621 0.013582 -1.33482e-20)
1104	Ua	0	(0 0.0093083 0)	0.450623	(0.0749621 0.013582 -1.33482e-20)
1105	Ua	0	(0 0.0093083 0)	0.450639	(0.0749621 0.013582 -1.33482e-20)
1106	Ua	0	(0 0.0093083 0)	0.450655	(0.0749621 0.013582 -1.33482e-20)
1107	Ua	0	(0 0.0093083 0)	0.45067	(0.0749621 0.013582 -1.33482e-20)
1108	Ua	0	(0 0.0093083 0)	0.450684	(0.0749621 0.013582 -1.33482e-20)
