# Time	field	min	position(min)	max	position(max)
1062	Ua	0	(0.0101886 0.0130353 0)	55.4494	(0.0498085 0.0148949 -2.71874e-20)
1063	Ua	0	(0.0101886 0.0130353 0)	55.5115	(0.0498085 0.0148949 -2.71874e-20)
1064	Ua	0	(0.0101886 0.0130353 0)	55.5729	(0.0498085 0.0148949 -2.71874e-20)
1065	Ua	0	(0.0101886 0.0130353 0)	55.6336	(0.0498085 0.0148949 -2.71874e-20)
1066	Ua	0	(0.0101886 0.0130353 0)	55.693	(0.0498085 0.0148949 -2.71874e-20)
1067	Ua	0	(0.0101886 0.0130353 0)	55.7515	(0.0498085 0.0148949 -2.71874e-20)
1068	Ua	0	(0.0101886 0.0130353 0)	55.8088	(0.0498085 0.0148949 -2.71874e-20)
1069	Ua	0	(0.0101886 0.0130353 0)	55.8655	(0.0498085 0.0148949 -2.71874e-20)
1070	Ua	0	(0.0101886 0.0130353 0)	55.9216	(0.0498085 0.0148949 -2.71874e-20)
1071	Ua	0	(0.0101886 0.0130353 0)	55.9767	(0.0498085 0.0148949 -2.71874e-20)
1072	Ua	0	(0.0101886 0.0130353 0)	56.0305	(0.0498085 0.0148949 -2.71874e-20)
1073	Ua	0	(0.0101886 0.0130353 0)	56.0829	(0.0498085 0.0148949 -2.71874e-20)
1074	Ua	0	(0.0101886 0.0130353 0)	56.1346	(0.0498085 0.0148949 -2.71874e-20)
1075	Ua	0	(0.0101886 0.0130353 0)	56.1859	(0.0498085 0.0148949 -2.71874e-20)
1076	Ua	0	(0.0101886 0.0130353 0)	56.2367	(0.0498085 0.0148949 -2.71874e-20)
1077	Ua	0	(0.0101886 0.0130353 0)	56.2868	(0.0498085 0.0148949 -2.71874e-20)
1078	Ua	0	(0.0101886 0.0130353 0)	56.3361	(0.0498085 0.0148949 -2.71874e-20)
1079	Ua	0	(0.0101886 0.0130353 0)	56.3848	(0.0498085 0.0148949 -2.71874e-20)
1080	Ua	0	(0.0101886 0.0130353 0)	56.4328	(0.0498085 0.0148949 -2.71874e-20)
1081	Ua	0	(0.0101886 0.0130353 0)	56.48	(0.0498085 0.0148949 -2.71874e-20)
1082	Ua	0	(0.0101886 0.0130353 0)	56.5264	(0.0498085 0.0148949 -2.71874e-20)
1083	Ua	0	(0.0101886 0.0130353 0)	56.5721	(0.0498085 0.0148949 -2.71874e-20)
1084	Ua	0	(0.0101886 0.0130353 0)	56.6165	(0.0498085 0.0148949 -2.71874e-20)
1085	Ua	0	(0.0101886 0.0130353 0)	56.6601	(0.0498085 0.0148949 -2.71874e-20)
1086	Ua	0	(0.0101886 0.0130353 0)	56.7036	(0.0498085 0.0148949 -2.71874e-20)
1087	Ua	0	(0.0101886 0.0130353 0)	56.7468	(0.0498085 0.0148949 -2.71874e-20)
1088	Ua	0	(0.0101886 0.0130353 0)	56.7897	(0.0498085 0.0148949 -2.71874e-20)
1089	Ua	0	(0.0101886 0.0130353 0)	56.8322	(0.0498085 0.0148949 -2.71874e-20)
1090	Ua	0	(0.0101886 0.0130353 0)	56.8743	(0.0498085 0.0148949 -2.71874e-20)
1091	Ua	0	(0.0101886 0.0130353 0)	56.9158	(0.0498085 0.0148949 -2.71874e-20)
1092	Ua	0	(0.0101886 0.0130353 0)	56.9567	(0.0498085 0.0148949 -2.71874e-20)
1093	Ua	0	(0.0101886 0.0130353 0)	56.9969	(0.0498085 0.0148949 -2.71874e-20)
1094	Ua	0	(0.0101886 0.0130353 0)	57.0366	(0.0498085 0.0148949 -2.71874e-20)
1095	Ua	0	(0.0101886 0.0130353 0)	57.0756	(0.0498085 0.0148949 -2.71874e-20)
1096	Ua	0	(0.0101886 0.0130353 0)	57.1142	(0.0498085 0.0148949 -2.71874e-20)
1097	Ua	0	(0.0101886 0.0130353 0)	57.152	(0.0498085 0.0148949 -2.71874e-20)
1098	Ua	0	(0.0101886 0.0130353 0)	57.1893	(0.0498085 0.0148949 -2.71874e-20)
1099	Ua	0	(0.0101886 0.0130353 0)	57.2263	(0.0498085 0.0148949 -2.71874e-20)
1100	Ua	0	(0.0101886 0.0130353 0)	57.2627	(0.0498085 0.0148949 -2.71874e-20)
1101	Ua	0	(0.0101886 0.0130353 0)	57.2985	(0.0498085 0.0148949 -2.71874e-20)
1102	Ua	0	(0.0101886 0.0130353 0)	57.3339	(0.0498085 0.0148949 -2.71874e-20)
1103	Ua	0	(0.0101886 0.0130353 0)	57.3688	(0.0498085 0.0148949 -2.71874e-20)
1104	Ua	0	(0.0101886 0.0130353 0)	57.4033	(0.0498085 0.0148949 -2.71874e-20)
1105	Ua	0	(0.0101886 0.0130353 0)	57.4374	(0.0498085 0.0148949 -2.71874e-20)
