# Time	field	min	position(min)	max	position(max)
1070	Ua	0	(0 0.0093083 0)	0.464703	(0.286245 -0.0188846 -9.87926e-21)
1071	Ua	0	(0 0.0093083 0)	0.46431	(0.286245 -0.0188846 -9.87926e-21)
1072	Ua	0	(0 0.0093083 0)	0.463842	(0.286245 -0.0188846 -9.87926e-21)
1073	Ua	0	(0 0.0093083 0)	0.463314	(0.286245 -0.0188846 -9.87926e-21)
1074	Ua	0	(0 0.0093083 0)	0.46274	(0.286245 -0.0188846 -9.87926e-21)
1075	Ua	0	(0 0.0093083 0)	0.462128	(0.286245 -0.0188846 -9.87926e-21)
1076	Ua	0	(0 0.0093083 0)	0.461484	(0.286245 -0.0188846 -9.87926e-21)
1077	Ua	0	(0 0.0093083 0)	0.461092	(0.284949 -0.018845 0)
1078	Ua	0	(0 0.0093083 0)	0.462044	(0.286245 0.0171309 3.03897e-20)
1079	Ua	0	(0 0.0093083 0)	0.463655	(0.286245 0.0171309 3.03897e-20)
1080	Ua	0	(0 0.0093083 0)	0.465335	(0.28495 0.0169764 0)
1081	Ua	0	(0 0.0093083 0)	0.467185	(0.28495 0.0169764 0)
1082	Ua	0	(0 0.0093083 0)	0.468948	(0.28495 0.0169764 0)
1083	Ua	0	(0 0.0093083 0)	0.470632	(0.28495 0.0169764 0)
1084	Ua	0	(0 0.0093083 0)	0.472242	(0.28495 0.0169764 0)
1085	Ua	0	(0 0.0093083 0)	0.473787	(0.28495 0.0169764 0)
1086	Ua	0	(0 0.0093083 0)	0.475272	(0.28495 0.0169764 0)
1087	Ua	0	(0 0.0093083 0)	0.476703	(0.28495 0.0169764 0)
1088	Ua	0	(0 0.0093083 0)	0.478147	(0.283657 0.0168216 0)
1089	Ua	0	(0 0.0093083 0)	0.479765	(0.283657 0.0168216 0)
1090	Ua	0	(0 0.0093083 0)	0.481324	(0.283657 0.0168216 0)
1091	Ua	0	(0 0.0093083 0)	0.48283	(0.283657 0.0168216 0)
1092	Ua	0	(0 0.0093083 0)	0.484288	(0.283657 0.0168216 0)
1093	Ua	0	(0 0.0093083 0)	0.4857	(0.283657 0.0168216 0)
1094	Ua	0	(0 0.0093083 0)	0.487071	(0.283657 0.0168216 0)
1095	Ua	0	(0 0.0093083 0)	0.488404	(0.283657 0.0168216 0)
1096	Ua	0	(0 0.0093083 0)	0.489701	(0.283657 0.0168216 0)
1097	Ua	0	(0 0.0093083 0)	0.491016	(0.282367 0.0166671 3.10551e-20)
1098	Ua	0	(0 0.0093083 0)	0.492456	(0.282367 0.0166671 3.10551e-20)
1099	Ua	0	(0 0.0093083 0)	0.493857	(0.282367 0.0166671 3.10551e-20)
1100	Ua	0	(0 0.0093083 0)	0.495219	(0.282367 0.0166671 3.10551e-20)
1101	Ua	0	(0 0.0093083 0)	0.496546	(0.282367 0.0166671 3.10551e-20)
1102	Ua	0	(0 0.0093083 0)	0.497839	(0.282367 0.0166671 3.10551e-20)
1103	Ua	0	(0 0.0093083 0)	0.4991	(0.282367 0.0166671 3.10551e-20)
